MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
57092,2015,03,11,,,,,,,,,,,,,,,rapid,-87.17,0.30,-12.29,0.02,0.058,0.119,0.048,0.020
57093,2015,03,12,,,,,,,,,,,,,,,rapid,-87.37,0.30,-12.41,0.02,0.093,0.119,0.069,0.020
57094,2015,03,13,,,,,,,,,,,,,,,rapid,-87.32,0.30,-12.39,0.02,0.134,0.119,0.127,0.020
57095,2015,03,14,,,,,,,,,,,,,,,rapid,-86.96,0.30,-12.19,0.15,0.149,0.119,0.179,0.150
57096,2015,03,15,,,,,,,,,,,,,,,rapid,-86.57,0.30,-11.96,0.03,0.132,0.119,0.191,0.030
57097,2015,03,16,,,,,,,,,,,,,,,rapid,-86.47,0.30,-11.91,0.03,0.113,0.119,0.168,0.030
57098,2015,03,17,,,,,,,,,,,,,,,rapid,-86.65,0.30,-12.02,0.03,0.119,0.119,0.172,0.030
57099,2015,03,18,,,,,,,,,,,,,,,rapid,-86.82,0.30,-12.10,0.03,0.137,0.119,0.210,0.030
57100,2015,03,19,,,,,,,,,,,,,,,rapid,-86.76,0.30,-12.04,0.03,0.149,0.119,0.257,0.030
57101,2015,03,20,,,,,,,,,,,,,,,rapid,-86.53,0.30,-11.96,0.03,0.148,0.119,0.290,0.030
57102,2015,03,21,,,,,,,,,,,,,,,rapid,-86.35,0.30,-12.01,0.15,0.144,0.119,0.302,0.150
57103,2015,03,22,,,,,,,,,,,,,,,rapid,-86.42,0.26,-12.12,0.09,0.143,0.103,0.307,0.090
57104,2015,03,23,,,,,,,,,,,,,,,rapid,-86.75,0.26,-12.16,0.09,0.138,0.103,0.296,0.090
57105,2015,03,24,,,,,,,,,,,,,,,rapid,-87.03,0.26,-12.16,0.09,0.136,0.103,0.269,0.090
57108,2015,03,27,rapid,0.01088,.00009,0.39093,.00009,,,,,rapid,-0.568118,0.000011,,,,,,,,,,,
57109,2015,03,28,rapid,0.01110,.00009,0.39206,.00009,,,,,rapid,-0.569531,0.000012,,,,,,,,,,,
57110,2015,03,29,rapid,0.01152,.00009,0.39310,.00010,,,,,rapid,-0.570929,0.000008,,,,,,,,,,,
57111,2015,03,30,rapid,0.01205,.00009,0.39409,.00010,,,,,rapid,-0.572321,0.000004,,,,,,,,,,,
57112,2015,03,31,rapid,0.01269,.00009,0.39519,.00009,,,,,rapid,-0.573713,0.000004,,,,,,,,,,,
57113,2015,04,01,rapid,0.01388,.00009,0.39642,.00009,,,,,rapid,-0.575095,0.000004,,,,,,,,,,,
57114,2015,04,02,rapid,0.01578,.00009,0.39781,.00009,,,,,rapid,-0.576468,0.000055,,,,,,,,,,,
57115,2015,04,03,prediction,0.0174,,0.3994,,,,,,prediction,-0.57785,,,,,,,,,,,,
57116,2015,04,04,prediction,0.0191,,0.4010,,,,,,prediction,-0.57923,,,,,,,,,,,,
57117,2015,04,05,prediction,0.0204,,0.4026,,,,,,prediction,-0.58057,,,,,,,,,,,,
57118,2015,04,06,prediction,0.0216,,0.4040,,,,,,prediction,-0.58188,,,,,,,,,,,,
57119,2015,04,07,prediction,0.0227,,0.4054,,,,,,prediction,-0.58317,,,,,,,,,,,,
57120,2015,04,08,prediction,0.0237,,0.4067,,,,,,prediction,-0.58442,,,,,,,,,,,,
57121,2015,04,09,prediction,0.0247,,0.4080,,,,,,prediction,-0.58562,,,,,,,,,,,,
57122,2015,04,10,prediction,0.0259,,0.4092,,,,,,prediction,-0.58678,,,,,,,,,,,,
57123,2015,04,11,prediction,0.0272,,0.4105,,,,,,prediction,-0.58795,,,,,,,,,,,,
57124,2015,04,12,prediction,0.0284,,0.4118,,,,,,prediction,-0.58917,,,,,,,,,,,,
57125,2015,04,13,prediction,0.0296,,0.4131,,,,,,prediction,-0.59048,,,,,,,,,,,,
57126,2015,04,14,prediction,0.0308,,0.4143,,,,,,prediction,-0.59195,,,,,,,,,,,,
57127,2015,04,15,prediction,0.0320,,0.4156,,,,,,prediction,-0.59360,,,,,,,,,,,,
57128,2015,04,16,prediction,0.0332,,0.4167,,,,,,prediction,-0.59545,,,,,,,,,,,,
57129,2015,04,17,prediction,0.0345,,0.4178,,,,,,prediction,-0.59743,,,,,,,,,,,,
57130,2015,04,18,prediction,0.0357,,0.4189,,,,,,prediction,-0.59944,,,,,,,,,,,,
57131,2015,04,19,prediction,0.0370,,0.4200,,,,,,prediction,-0.60138,,,,,,,,,,,,
57132,2015,04,20,prediction,0.0383,,0.4211,,,,,,prediction,-0.60318,,,,,,,,,,,,
57133,2015,04,21,prediction,0.0396,,0.4221,,,,,,prediction,-0.60480,,,,,,,,,,,,
57134,2015,04,22,prediction,0.0409,,0.4232,,,,,,prediction,-0.60626,,,,,,,,,,,,
57135,2015,04,23,prediction,0.0422,,0.4242,,,,,,prediction,-0.60761,,,,,,,,,,,,
57136,2015,04,24,prediction,0.0436,,0.4251,,,,,,prediction,-0.60891,,,,,,,,,,,,
57137,2015,04,25,prediction,0.0449,,0.4261,,,,,,prediction,-0.61018,,,,,,,,,,,,
57138,2015,04,26,prediction,0.0463,,0.4270,,,,,,prediction,-0.61145,,,,,,,,,,,,
57139,2015,04,27,prediction,0.0477,,0.4280,,,,,,prediction,-0.61273,,,,,,,,,,,,
57140,2015,04,28,prediction,0.0491,,0.4289,,,,,,prediction,-0.61403,,,,,,,,,,,,
57141,2015,04,29,prediction,0.0506,,0.4297,,,,,,prediction,-0.61534,,,,,,,,,,,,
57142,2015,04,30,prediction,0.0520,,0.4306,,,,,,prediction,-0.61667,,,,,,,,,,,,
57143,2015,05,01,prediction,0.0535,,0.4314,,,,,,prediction,-0.61799,,,,,,,,,,,,
57144,2015,05,02,prediction,0.0550,,0.4322,,,,,,prediction,-0.61927,,,,,,,,,,,,
57145,2015,05,03,prediction,0.0565,,0.4330,,,,,,prediction,-0.62050,,,,,,,,,,,,
57146,2015,05,04,prediction,0.0580,,0.4338,,,,,,prediction,-0.62166,,,,,,,,,,,,
57147,2015,05,05,prediction,0.0596,,0.4345,,,,,,prediction,-0.62274,,,,,,,,,,,,
57148,2015,05,06,prediction,0.0611,,0.4352,,,,,,prediction,-0.62374,,,,,,,,,,,,
57149,2015,05,07,prediction,0.0627,,0.4359,,,,,,prediction,-0.62469,,,,,,,,,,,,
57150,2015,05,08,prediction,0.0643,,0.4366,,,,,,prediction,-0.62562,,,,,,,,,,,,
57151,2015,05,09,prediction,0.0659,,0.4372,,,,,,prediction,-0.62659,,,,,,,,,,,,
57152,2015,05,10,prediction,0.0675,,0.4379,,,,,,prediction,-0.62765,,,,,,,,,,,,
57153,2015,05,11,prediction,0.0691,,0.4385,,,,,,prediction,-0.62884,,,,,,,,,,,,
57154,2015,05,12,prediction,0.0707,,0.4391,,,,,,prediction,-0.63018,,,,,,,,,,,,
57155,2015,05,13,prediction,0.0724,,0.4396,,,,,,prediction,-0.63165,,,,,,,,,,,,
57156,2015,05,14,prediction,0.0740,,0.4401,,,,,,prediction,-0.63321,,,,,,,,,,,,
57157,2015,05,15,prediction,0.0757,,0.4406,,,,,,prediction,-0.63478,,,,,,,,,,,,
57158,2015,05,16,prediction,0.0774,,0.4411,,,,,,prediction,-0.63628,,,,,,,,,,,,
57159,2015,05,17,prediction,0.0791,,0.4416,,,,,,prediction,-0.63763,,,,,,,,,,,,
57160,2015,05,18,prediction,0.0808,,0.4420,,,,,,prediction,-0.63880,,,,,,,,,,,,
57161,2015,05,19,prediction,0.0825,,0.4424,,,,,,prediction,-0.63979,,,,,,,,,,,,
