MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
57388,2016,01,01,rapid,0.05119,.00009,0.25681,.00009,,,,,rapid,0.081537,0.000020,,,,,,,,,,,
57389,2016,01,02,rapid,0.04901,.00009,0.25727,.00009,,,,,rapid,0.079604,0.000024,,,,,,,,,,,
57390,2016,01,03,rapid,0.04720,.00009,0.25771,.00009,,,,,rapid,0.077682,0.000019,,,,,,,,,,,
57391,2016,01,04,rapid,0.04569,.00009,0.25861,.00009,,,,,rapid,0.075717,0.000016,,,,,,,,,,,
57392,2016,01,05,rapid,0.04413,.00009,0.26012,.00009,,,,,rapid,0.073744,0.000014,,,,,,,,,,,
57393,2016,01,06,rapid,0.04237,.00009,0.26177,.00009,,,,,rapid,0.071821,0.000065,,,,,,,,,,,
57394,2016,01,07,rapid,0.04063,.00009,0.26331,.00009,,,,,rapid,0.069942,0.000055,,,,,,,,,,,
57395,2016,01,08,prediction,0.0388,,0.2646,,,,,,prediction,0.06818,,,,,,,,,,,,
57396,2016,01,09,prediction,0.0372,,0.2659,,,,,,prediction,0.06645,,,,,,,,,,,,
57397,2016,01,10,prediction,0.0355,,0.2670,,,,,,prediction,0.06471,,,,,,,,,,,,
57398,2016,01,11,prediction,0.0339,,0.2680,,,,,,prediction,0.06293,,,,,,,,,,,,
57399,2016,01,12,prediction,0.0324,,0.2691,,,,,,prediction,0.06107,,,,,,,,,,,,
57400,2016,01,13,prediction,0.0309,,0.2702,,,,,,prediction,0.05909,,,,,,,,,,,,
57401,2016,01,14,prediction,0.0293,,0.2714,,,,,,prediction,0.05699,,,,,,,,,,,,
57402,2016,01,15,prediction,0.0278,,0.2725,,,,,,prediction,0.05481,,,,,,,,,,,,
57403,2016,01,16,prediction,0.0262,,0.2737,,,,,,prediction,0.05261,,,,,,,,,,,,
57404,2016,01,17,prediction,0.0248,,0.2749,,,,,,prediction,0.05042,,,,,,,,,,,,
57405,2016,01,18,prediction,0.0233,,0.2761,,,,,,prediction,0.04828,,,,,,,,,,,,
57406,2016,01,19,prediction,0.0218,,0.2773,,,,,,prediction,0.04621,,,,,,,,,,,,
57407,2016,01,20,prediction,0.0204,,0.2784,,,,,,prediction,0.04422,,,,,,,,,,,,
57408,2016,01,21,prediction,0.0191,,0.2796,,,,,,prediction,0.04231,,,,,,,,,,,,
57409,2016,01,22,prediction,0.0178,,0.2808,,,,,,prediction,0.04047,,,,,,,,,,,,
57410,2016,01,23,prediction,0.0165,,0.2820,,,,,,prediction,0.03867,,,,,,,,,,,,
57411,2016,01,24,prediction,0.0152,,0.2832,,,,,,prediction,0.03689,,,,,,,,,,,,
57412,2016,01,25,prediction,0.0140,,0.2845,,,,,,prediction,0.03511,,,,,,,,,,,,
57413,2016,01,26,prediction,0.0128,,0.2858,,,,,,prediction,0.03332,,,,,,,,,,,,
57414,2016,01,27,prediction,0.0116,,0.2871,,,,,,prediction,0.03152,,,,,,,,,,,,
57415,2016,01,28,prediction,0.0104,,0.2884,,,,,,prediction,0.02971,,,,,,,,,,,,
57416,2016,01,29,prediction,0.0093,,0.2898,,,,,,prediction,0.02792,,,,,,,,,,,,
57417,2016,01,30,prediction,0.0082,,0.2911,,,,,,prediction,0.02616,,,,,,,,,,,,
57418,2016,01,31,prediction,0.0071,,0.2925,,,,,,prediction,0.02446,,,,,,,,,,,,
57419,2016,02,01,prediction,0.0060,,0.2939,,,,,,prediction,0.02282,,,,,,,,,,,,
57420,2016,02,02,prediction,0.0050,,0.2953,,,,,,prediction,0.02125,,,,,,,,,,,,
57421,2016,02,03,prediction,0.0040,,0.2967,,,,,,prediction,0.01972,,,,,,,,,,,,
57422,2016,02,04,prediction,0.0030,,0.2981,,,,,,prediction,0.01823,,,,,,,,,,,,
57423,2016,02,05,prediction,0.0020,,0.2996,,,,,,prediction,0.01676,,,,,,,,,,,,
57424,2016,02,06,prediction,0.0011,,0.3010,,,,,,prediction,0.01525,,,,,,,,,,,,
57425,2016,02,07,prediction,0.0001,,0.3025,,,,,,prediction,0.01367,,,,,,,,,,,,
57426,2016,02,08,prediction,-0.0008,,0.3040,,,,,,prediction,0.01195,,,,,,,,,,,,
57427,2016,02,09,prediction,-0.0016,,0.3055,,,,,,prediction,0.01008,,,,,,,,,,,,
57428,2016,02,10,prediction,-0.0025,,0.3070,,,,,,prediction,0.00806,,,,,,,,,,,,
57429,2016,02,11,prediction,-0.0033,,0.3085,,,,,,prediction,0.00594,,,,,,,,,,,,
57430,2016,02,12,prediction,-0.0040,,0.3101,,,,,,prediction,0.00378,,,,,,,,,,,,
